source_file,source_file_hash,document_id,page_number,row_index_on_page,raw_text,extracted_columns,item,type_raw,code,revision,description,uom,quantity_raw,notes,parser_confidence,parser_name,warnings,bbox_row,metadata
E0181296 01-06_BOM.pdf,6d76564f95814fe292ce12570d758e79f9cfba34919553705c4ec11b0cdd1765,E0181296 01-06_BOM:6d76564f9581,1,1,Bill of Material A1997,"['Bill', 'of', 'Material', 'A1997']",,Bill,,of,Material | A1997,,,,0.55,pymupdf_words,['continuation_candidate'],"(326.943603515625, 21.864042282104492, 759.5692138671875, 47.75164031982422)",{}
E0181296 01-06_BOM.pdf,6d76564f95814fe292ce12570d758e79f9cfba34919553705c4ec11b0cdd1765,E0181296 01-06_BOM:6d76564f9581,1,2,Codice / Code E0181296 01 Revisione / Revision 06 Tipo / Type Electro Optic (EOU) Ultima Rev. / Last Rev. Descrizione / Description QUIRIS Laser Unit Specifica di Configurazione / Solo Rilasciati / Data di Stampa / Ultima revisione SI / YES 21/11/2025 Configuration Specification Only Released Printing Date Riferimenti / References ALT = Alternativa / Alternative CE = Cariche Elettrostatiche / Elettrostatics Charge Rif.DIS = Riferimento Disegno / Drawing Reference MP = Materiale Pericoloso / Dangerous Material OBS = Obsoleto / Obsolete Q.tï¿½ = Quantitï¿½ / Quantity Rev. = Revisione / Revision U.M. = Unitï¿½ di Misura / Units of measure Rif.Schema / Diag.Ref. = Riferimento Schema / Diagram Reference Rif.Access / Access.Ref. = Riferimento Accessorio / Accessory Reference Den.Comm. / Trade Name = Denominazione Commerciale / Trade Name Rag.Soc. / Comp.Name = Ragione Sociale / Company Name,"['Codice', '/', 'Code', 'E0181296', '01', 'Revisione', '/', 'Revision', '06', 'Tipo', '/', 'Type', 'Electro', 'Optic', '(EOU)', 'Ultima', 'Rev.', '/', 'Last', 'Rev.', 'Descrizione', '/', 'Description', 'QUIRIS', 'Laser', 'Unit', 'Specifica', 'di', 'Configurazione', '/', 'Solo', 'Rilasciati', '/', 'Data', 'di', 'Stampa', '/', 'Ultima', 'revisione', 'SI', '/', 'YES', '21/11/2025', 'Configuration', 'Specification', 'Only', 'Released', 'Printing', 'Date', 'Riferimenti', '/', 'References', 'ALT', '=', 'Alternativa', '/', 'Alternative', 'CE', '=', 'Cariche', 'Elettrostatiche', '/', 'Elettrostatics', 'Charge', 'Rif.DIS', '=', 'Riferimento', 'Disegno', '/', 'Drawing', 'Reference', 'MP', '=', 'Materiale', 'Pericoloso', '/', 'Dangerous', 'Material', 'OBS', '=', 'Obsoleto', '/', 'Obsolete', 'Q.tï¿½', '=', 'Quantitï¿½', '/', 'Quantity', 'Rev.', '=', 'Revisione', '/', 'Revision', 'U.M.', '=', 'Unitï¿½', 'di', 'Misura', '/', 'Units', 'of', 'measure', 'Rif.Schema', '/', 'Diag.Ref.', '=', 'Riferimento', 'Schema', '/', 'Diagram', 'Reference', 'Rif.Access', '/', 'Access.Ref.', '=', 'Riferimento', 'Accessorio', '/', 'Accessory', 'Reference', 'Den.Comm.', '/', 'Trade', 'Name', '=', 'Denominazione', 'Commerciale', '/', 'Trade', 'Name', 'Rag.Soc.', '/', 'Comp.Name', '=', 'Ragione', 'Sociale', '/', 'Company', 'Name']",,,,,,,,,0.55,pymupdf_words,"['header_like_content', 'header_row', 'row_stitched_from_multiline', 'row_stitched_from_multiline', 'row_stitched_from_multiline', 'row_stitched_from_multiline', 'row_stitched_from_multiline', 'row_stitched_from_multiline', 'row_stitched_from_multiline', 'row_stitched_from_multiline', 'row_stitched_from_multiline', 'row_stitched_from_multiline']","(38.31660079956055, 53.47153854370117, 763.446044921875, 65.16326141357422)",{}
E0181296 01-06_BOM.pdf,6d76564f95814fe292ce12570d758e79f9cfba34919553705c4ec11b0cdd1765,E0181296 01-06_BOM:6d76564f9581,1,13,Riga / Tipo / Type Codice / Code Rev. Descrizione / Description Rif. Rif.Schema / Rif.Access / U.M. Q.tï¿½ Note CE MP Den.Comm. / Rag.Soc. / Item DIS Diag.Ref. Access.Ref. Trade Name Comp.Name,"['Riga', '/', 'Tipo', '/', 'Type', 'Codice', '/', 'Code', 'Rev.', 'Descrizione', '/', 'Description', 'Rif.', 'Rif.Schema', '/', 'Rif.Access', '/', 'U.M.', 'Q.tï¿½', 'Note', 'CE', 'MP', 'Den.Comm.', '/', 'Rag.Soc.', '/', 'Item', 'DIS', 'Diag.Ref.', 'Access.Ref.', 'Trade', 'Name', 'Comp.Name']",,,,,,,,,0.55,pymupdf_words,"['header_like_content', 'header_row', 'row_stitched_from_multiline']","(31.1914005279541, 187.1912078857422, 769.230712890625, 194.95748901367188)",{}
E0181296 01-06_BOM.pdf,6d76564f95814fe292ce12570d758e79f9cfba34919553705c4ec11b0cdd1765,E0181296 01-06_BOM:6d76564f9581,1,15,0005 DD Disegno di Ingombro E0216160 01 02 DD QUIRIS Laser Unit,"['0005', 'DD', 'Disegno', 'di', 'Ingombro', 'E0216160', '01', '02', 'DD', 'QUIRIS', 'Laser', 'Unit']",0005,DD Disegno di Ingombro,E0216160,01,,,02,DD | QUIRIS | Laser | Unit,0.55,pymupdf_words,[],"(30.148000717163086, 202.20301818847656, 271.0343017578125, 209.95237731933594)",{}
E0181296 01-06_BOM.pdf,6d76564f95814fe292ce12570d758e79f9cfba34919553705c4ec11b0cdd1765,E0181296 01-06_BOM:6d76564f9581,1,16,0010 Scheda E0181331 01 03 QLU - Driver 4 4 NR 1,"['0010', 'Scheda', 'E0181331', '01', '03', 'QLU', '-', 'Driver', '4', '4', 'NR', '1']",0010,Scheda,E0181331,01,03 | QLU | - | Driver | 4 | 4,NR,1,,0.55,pymupdf_words,[],"(30.148000717163086, 211.60301208496094, 519.62109375, 219.3523712158203)",{}
E0181296 01-06_BOM.pdf,6d76564f95814fe292ce12570d758e79f9cfba34919553705c4ec11b0cdd1765,E0181296 01-06_BOM:6d76564f9581,1,17,0015 Unita E0205407 01 04 QUIRIS Laser Unit US,"['0015', 'Unita', 'E0205407', '01', '04', 'QUIRIS', 'Laser', 'Unit', 'US']",0015,Unita,E0205407,01,,,04,QUIRIS | Laser | Unit | US,0.55,pymupdf_words,[],"(30.148000717163086, 221.0030059814453, 270.72406005859375, 228.7523651123047)",{}
E0181296 01-06_BOM.pdf,6d76564f95814fe292ce12570d758e79f9cfba34919553705c4ec11b0cdd1765,E0181296 01-06_BOM:6d76564f9581,1,18,0020 Altro - Elemento Meccanico E0256011 01 01 Teflon Laser Spacer 2 16_1-16_4 NR 4,"['0020', 'Altro', '-', 'Elemento', 'Meccanico', 'E0256011', '01', '01', 'Teflon', 'Laser', 'Spacer', '2', '16_1-16_4', 'NR', '4']",0020,Altro - Elemento Meccanico,E0256011,01,01 | Teflon | Laser | Spacer | 2 | 16_1-16_4,NR,4,,0.55,pymupdf_words,[],"(30.148000717163086, 230.4029998779297, 519.62109375, 238.15235900878906)",{}
E0181296 01-06_BOM.pdf,6d76564f95814fe292ce12570d758e79f9cfba34919553705c4ec11b0cdd1765,E0181296 01-06_BOM:6d76564f9581,1,19,0025 Interno E0215561 01 01 MoM CDR unità Laser Unit QUIRIS,"['0025', 'Interno', 'E0215561', '01', '01', 'MoM', 'CDR', 'unità', 'Laser', 'Unit', 'QUIRIS']",0025,Interno,E0215561,01,,,01,MoM | CDR | unità | Laser | Unit | QUIRIS,0.55,pymupdf_words,[],"(30.148000717163086, 239.80299377441406, 303.0018005371094, 247.55235290527344)",{}
E0181296 01-06_BOM.pdf,6d76564f95814fe292ce12570d758e79f9cfba34919553705c4ec11b0cdd1765,E0181296 01-06_BOM:6d76564f9581,1,20,0030 Unita E0205408 01 02 QUIRIS Laser Unit UDD,"['0030', 'Unita', 'E0205408', '01', '02', 'QUIRIS', 'Laser', 'Unit', 'UDD']",0030,Unita,E0205408,01,,,02,QUIRIS | Laser | Unit | UDD,0.55,pymupdf_words,[],"(30.148000717163086, 249.20301818847656, 275.1063537597656, 256.952392578125)",{}
E0181296 01-06_BOM.pdf,6d76564f95814fe292ce12570d758e79f9cfba34919553705c4ec11b0cdd1765,E0181296 01-06_BOM:6d76564f9581,1,21,0035 Interno E0215554 01 01 MoM RR unità Laser unit QUIRIS,"['0035', 'Interno', 'E0215554', '01', '01', 'MoM', 'RR', 'unità', 'Laser', 'unit', 'QUIRIS']",0035,Interno,E0215554,01,,,01,MoM | RR | unità | Laser | unit | QUIRIS,0.55,pymupdf_words,[],"(30.148000717163086, 258.60302734375, 297.99346923828125, 266.3523864746094)",{}
E0181296 01-06_BOM.pdf,6d76564f95814fe292ce12570d758e79f9cfba34919553705c4ec11b0cdd1765,E0181296 01-06_BOM:6d76564f9581,1,22,0040 Chassis Elettrico E0223806 01 04 QLU Elettrical chassis 1 1 NR 1,"['0040', 'Chassis', 'Elettrico', 'E0223806', '01', '04', 'QLU', 'Elettrical', 'chassis', '1', '1', 'NR', '1']",0040,Chassis Elettrico,E0223806,01,04 | QLU | Elettrical | chassis | 1 | 1,NR,1,,0.55,pymupdf_words,[],"(30.148000717163086, 268.0030212402344, 519.62109375, 275.75238037109375)",{}
E0181296 01-06_BOM.pdf,6d76564f95814fe292ce12570d758e79f9cfba34919553705c4ec11b0cdd1765,E0181296 01-06_BOM:6d76564f9581,1,23,0045 Integrazione Ottica E0224097 01 02 QLU Lenses 2 2 NR 1,"['0045', 'Integrazione', 'Ottica', 'E0224097', '01', '02', 'QLU', 'Lenses', '2', '2', 'NR', '1']",0045,Integrazione Ottica,E0224097,01,02 | QLU | Lenses | 2 | 2,NR,1,,0.55,pymupdf_words,[],"(30.148000717163086, 277.40301513671875, 519.62109375, 285.1523742675781)",{}
E0181296 01-06_BOM.pdf,6d76564f95814fe292ce12570d758e79f9cfba34919553705c4ec11b0cdd1765,E0181296 01-06_BOM:6d76564f9581,1,24,0050 Interno E0223640 01 01 MoM Delta RR unità Laser Unit QUIRIS,"['0050', 'Interno', 'E0223640', '01', '01', 'MoM', 'Delta', 'RR', 'unità', 'Laser', 'Unit', 'QUIRIS']",0050,Interno,E0223640,01,,,01,MoM | Delta | RR | unità | Laser | Unit | QUIRIS,0.55,pymupdf_words,[],"(30.148000717163086, 286.8030090332031, 313.661376953125, 294.5523681640625)",{}
E0181296 01-06_BOM.pdf,6d76564f95814fe292ce12570d758e79f9cfba34919553705c4ec11b0cdd1765,E0181296 01-06_BOM:6d76564f9581,1,25,0055 Unita E0226123 01 01 QUIRIS Laser Unit IDD,"['0055', 'Unita', 'E0226123', '01', '01', 'QUIRIS', 'Laser', 'Unit', 'IDD']",0055,Unita,E0226123,01,,,01,QUIRIS | Laser | Unit | IDD,0.55,pymupdf_words,[],"(30.148000717163086, 296.2030334472656, 272.6021728515625, 303.952392578125)",{}
E0181296 01-06_BOM.pdf,6d76564f95814fe292ce12570d758e79f9cfba34919553705c4ec11b0cdd1765,E0181296 01-06_BOM:6d76564f9581,1,26,0060 Tool Set E0226713 01 01 Toolset Coll. di Prod. Laser Unit NR 1,"['0060', 'Tool', 'Set', 'E0226713', '01', '01', 'Toolset', 'Coll.', 'di', 'Prod.', 'Laser', 'Unit', 'NR', '1']",0060,Tool Set,E0226713,01,01 | Toolset | Coll. | di | Prod. | Laser | Unit,NR,1,,0.55,pymupdf_words,[],"(30.148000717163086, 305.60302734375, 519.62109375, 313.3523864746094)",{}
E0181296 01-06_BOM.pdf,6d76564f95814fe292ce12570d758e79f9cfba34919553705c4ec11b0cdd1765,E0181296 01-06_BOM:6d76564f9581,1,27,0065 Interno E0215559 01 01 MoM PDR unità Laser Unit QUIRIS,"['0065', 'Interno', 'E0215559', '01', '01', 'MoM', 'PDR', 'unità', 'Laser', 'Unit', 'QUIRIS']",0065,Interno,E0215559,01,,,01,MoM | PDR | unità | Laser | Unit | QUIRIS,0.55,pymupdf_words,[],"(30.148000717163086, 315.0030212402344, 302.6915588378906, 322.75238037109375)",{}
E0181296 01-06_BOM.pdf,6d76564f95814fe292ce12570d758e79f9cfba34919553705c4ec11b0cdd1765,E0181296 01-06_BOM:6d76564f9581,1,28,0070 Altro - Elemento Meccanico E0284577 01 01 Laser Cover Mirsense 30_1-30_2 NR 2,"['0070', 'Altro', '-', 'Elemento', 'Meccanico', 'E0284577', '01', '01', 'Laser', 'Cover', 'Mirsense', '30_1-30_2', 'NR', '2']",0070,Altro - Elemento Meccanico,E0284577,01,01 | Laser | Cover | Mirsense | 30_1-30_2,NR,2,,0.55,pymupdf_words,[],"(30.148000717163086, 324.40301513671875, 519.62109375, 332.1523742675781)",{}
E0181296 01-06_BOM.pdf,6d76564f95814fe292ce12570d758e79f9cfba34919553705c4ec11b0cdd1765,E0181296 01-06_BOM:6d76564f9581,1,29,0075 Unita E0264469 01 02 UTD QLU,"['0075', 'Unita', 'E0264469', '01', '02', 'UTD', 'QLU']",0075,Unita,E0264469,01,,,02,UTD | QLU,0.55,pymupdf_words,[],"(30.148000717163086, 333.80303955078125, 239.376953125, 341.5523986816406)",{}
E0181296 01-06_BOM.pdf,6d76564f95814fe292ce12570d758e79f9cfba34919553705c4ec11b0cdd1765,E0181296 01-06_BOM:6d76564f9581,1,30,0080 Minuteria C0020641 03 VTCEI M3X8 A4-70 ISO4762 8_1-8_18 NR 18 VTCEI M3X8 A4-70 ISO4762 COSTRUTTORE FITTIZIO,"['0080', 'Minuteria', 'C0020641', '03', 'VTCEI', 'M3X8', 'A4-70', 'ISO4762', '8_1-8_18', 'NR', '18', 'VTCEI', 'M3X8', 'A4-70', 'ISO4762', 'COSTRUTTORE', 'FITTIZIO']",0080,Minuteria,C0020641,03,VTCEI | M3X8 | A4-70 | ISO4762 | 8_1-8_18,NR,18,VTCEI | M3X8 | A4-70 | ISO4762 | COSTRUTTORE | FITTIZIO,0.55,pymupdf_words,[],"(30.148000717163086, 343.2030029296875, 766.7115478515625, 350.9523620605469)",{}
E0181296 01-06_BOM.pdf,6d76564f95814fe292ce12570d758e79f9cfba34919553705c4ec11b0cdd1765,E0181296 01-06_BOM:6d76564f9581,1,31,"0085 Minuteria C0025367 02 VTCEI M2.5X12 A4-70 ISO4762 19_1-19_5 NR 5 NO VTCEI M2,5X12 A4-70 ISO4762 COSTRUTTORE FITTIZIO","['0085', 'Minuteria', 'C0025367', '02', 'VTCEI', 'M2.5X12', 'A4-70', 'ISO4762', '19_1-19_5', 'NR', '5', 'NO', 'VTCEI', 'M2,5X12', 'A4-70', 'ISO4762', 'COSTRUTTORE', 'FITTIZIO']",0085,Minuteria,C0025367,02,VTCEI | M2.5X12 | A4-70 | ISO4762 | 19_1-19_5,NR,5,"NO | VTCEI | M2,5X12 | A4-70 | ISO4762 | COSTRUTTORE | FITTIZIO",0.55,pymupdf_words,[],"(30.148000717163086, 352.60302734375, 766.7115478515625, 360.3523864746094)",{}
E0181296 01-06_BOM.pdf,6d76564f95814fe292ce12570d758e79f9cfba34919553705c4ec11b0cdd1765,E0181296 01-06_BOM:6d76564f9581,1,32,0090 Materiale Chimico di Processo 166104001 04 ADESIVO KGM 0.05 NO LOCTITE 243 LOCTITE CORP.,"['0090', 'Materiale', 'Chimico', 'di', 'Processo', '166104001', '04', 'ADESIVO', 'KGM', '0.05', 'NO', 'LOCTITE', '243', 'LOCTITE', 'CORP.']",0090,Materiale Chimico di Processo,166104001,04,ADESIVO | KGM | 0.05 | NO | LOCTITE,,243,LOCTITE | CORP.,0.55,pymupdf_words,[],"(30.148000717163086, 362.0030212402344, 741.021240234375, 369.75238037109375)",{}
E0181296 01-06_BOM.pdf,6d76564f95814fe292ce12570d758e79f9cfba34919553705c4ec11b0cdd1765,E0181296 01-06_BOM:6d76564f9581,1,33,0095 Procedura Operativa E0029311 01 05 MARCATURA LASER 43,"['0095', 'Procedura', 'Operativa', 'E0029311', '01', '05', 'MARCATURA', 'LASER', '43']",0095,Procedura Operativa,E0029311,01,05 | MARCATURA | LASER,,43,,0.55,pymupdf_words,[],"(30.148000717163086, 371.40301513671875, 363.0697021484375, 379.1523742675781)",{}
